name,link,other,
Jude Milhon,https://en.wikipedia.org/wiki/Jude_Milhon,http://www.dvara.net/hk/jude/TheJoyEn.html,
Vitalik Buterin,https://vitalik.ca/,,Ethereum
Elias Simon,https://eliasimos.xyz/,,Bison Trails
Dimitry Buterin ,http://www.buterin.com/,,
cometshock,https://mobile.twitter.com/CometShock/status/1399770941232713738,,
adam - trading riot,https://twitter.com/abetrade,,
